condition,rep,signal,label,kill_log,f_S,f_Z_MK,f_R_curve,f_rho_env,f_E_ratio,f_G_spec,f_Q_spec,f_K_01,f_PE,f_med_first,f_med_last,f_peak_period,f_MAD_dx
convergence,94,individual_dissolved_oxygen,null,null (no test triggered),-0.000226,-15.960466,1.095724,-0.003773,0.610375,0.180119,1.000000,0.996790,0.998852,1.519261,-0.469813,10000.000000,0.780054
convergence,94,composed,convergent,monotone→curvature→convergent,-0.000458,-24.360272,0.957704,-0.020561,0.274802,0.342053,1.000000,0.997089,0.998817,3.417400,-0.507217,10000.000000,0.647346
convergence,94,standardized_sum,convergent,monotone→curvature→convergent,-0.000244,-16.002176,1.108085,-0.000821,0.451738,0.192789,1.000000,0.997805,0.998602,2.063398,-0.373656,10000.000000,0.752277
convergence,95,individual_temperature,null,null (no test triggered),-0.000101,-8.266805,1.204226,-0.002151,0.850377,0.068268,1.000000,0.998051,0.998770,0.887800,-0.214961,10000.000000,0.898534
convergence,95,individual_fish_count,convergent,monotone→curvature→convergent,-0.000483,-21.789367,0.976831,-0.034826,0.208399,0.319834,1.000000,0.994064,0.991028,4.496605,-0.449661,10000.000000,0.674491
convergence,95,individual_inter_event,null,null (no test triggered),-0.000080,-7.542553,1.162065,0.051892,2.421123,0.040586,1.000000,0.997498,0.998387,0.536358,-0.372371,10000.000000,0.929601
convergence,95,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,-2.891889,2.811454,-0.015795,0.753648,0.016327,0.500000,0.997488,0.605515,0.153958,0.000000,10000.000000,1.000000
convergence,95,individual_dissolved_oxygen,null,null (no test triggered),-0.000248,-17.106566,1.113130,-0.006201,0.613841,0.182462,1.000000,0.997111,0.998803,1.511899,-0.419791,10000.000000,0.786429
convergence,95,composed,convergent,monotone→curvature→convergent,-0.000460,-22.943999,0.949530,-0.014978,0.280239,0.343761,1.000000,0.996425,0.998971,3.449239,-0.526983,10000.000000,0.639993
convergence,95,standardized_sum,convergent,monotone→curvature→convergent,-0.000247,-15.401256,1.115218,-0.009152,0.450183,0.202909,1.000000,0.998173,0.998813,2.106662,-0.316471,10000.000000,0.736243
convergence,96,individual_temperature,null,null (no test triggered),-0.000124,-9.748393,1.196378,-0.003491,0.862126,0.059383,1.000000,0.997461,0.998643,0.819163,-0.194693,10000.000000,0.877203
convergence,96,individual_fish_count,convergent,monotone→curvature→convergent,-0.000514,-23.470219,0.947376,-0.035054,0.216445,0.312477,1.000000,0.996192,0.991597,4.496605,-0.449661,10000.000000,0.674491
convergence,96,individual_inter_event,null,null (no test triggered),-0.000093,-8.988498,1.163739,0.047869,2.336975,0.043684,1.000000,0.998194,0.998935,0.539585,-0.371427,10000.000000,0.915372
convergence,96,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,-5.353018,2.716094,-0.016112,0.734367,0.019197,0.500000,0.998276,0.609481,0.153958,0.000000,10000.000000,1.000000
convergence,96,individual_dissolved_oxygen,null,null (no test triggered),-0.000211,-14.723834,1.121718,-0.002147,0.621977,0.180489,1.000000,0.997609,0.998793,1.534917,-0.365759,10000.000000,0.797423
convergence,96,composed,convergent,monotone→curvature→convergent,-0.000474,-24.534414,0.933548,-0.019181,0.275264,0.340567,1.000000,0.997086,0.998862,3.469173,-0.531779,10000.000000,0.636395
convergence,96,standardized_sum,convergent,monotone→curvature→convergent,-0.000258,-16.792881,1.099743,-0.003711,0.459245,0.195175,1.000000,0.996067,0.998869,2.119930,-0.390564,10000.000000,0.751987
convergence,97,individual_temperature,null,null (no test triggered),-0.000116,-9.609515,1.173665,-0.003897,0.853093,0.061274,1.000000,0.997742,0.998486,0.812703,-0.275989,10000.000000,0.888278
convergence,97,individual_fish_count,convergent,monotone→curvature→convergent,-0.000502,-23.266973,0.962794,-0.039482,0.211773,0.320708,1.000000,0.996424,0.989870,4.496605,-0.449661,10000.000000,0.674491
convergence,97,individual_inter_event,null,null (no test triggered),-0.000076,-7.550990,1.176358,0.045752,2.290353,0.038930,1.000000,0.998182,0.998643,0.525192,-0.258461,10000.000000,0.953580
convergence,97,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,-3.380380,2.769499,-0.014415,0.751589,0.011322,0.500000,0.997476,0.611327,0.153958,0.000000,10000.000000,1.000000
convergence,97,individual_dissolved_oxygen,null,null (no test triggered),-0.000244,-17.840961,1.110776,-0.000908,0.618181,0.190426,1.000000,0.998746,0.999128,1.561346,-0.375088,10000.000000,0.793721
convergence,97,composed,convergent,monotone→curvature→convergent,-0.000476,-24.791410,0.943816,-0.014493,0.278595,0.340689,1.000000,0.995242,0.998694,3.437129,-0.568231,10000.000000,0.629977
convergence,97,standardized_sum,convergent,monotone→curvature→convergent,-0.000254,-17.205250,1.076070,-0.001820,0.450581,0.192801,1.000000,0.998594,0.998953,2.104375,-0.470606,10000.000000,0.752726
convergence,98,individual_temperature,null,null (no test triggered),-0.000100,-8.430994,1.194514,-0.003198,0.835301,0.068021,1.000000,0.998018,0.998897,0.826924,-0.193307,10000.000000,0.908173
convergence,98,individual_fish_count,convergent,monotone→curvature→convergent,-0.000362,-22.640173,0.933526,-0.036362,0.223041,0.312884,1.000000,0.996275,0.991737,4.496605,-0.449661,10000.000000,0.899321
convergence,98,individual_inter_event,null,null (no test triggered),-0.000095,-8.726193,1.182753,0.046586,2.296345,0.043384,1.000000,0.997849,0.998838,0.554007,-0.218821,10000.000000,0.931192
convergence,98,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,-4.600706,2.775568,-0.013225,0.774597,0.016700,0.500000,0.998297,0.610944,0.153958,0.000000,10000.000000,1.000000
convergence,98,individual_dissolved_oxygen,null,null (no test triggered),-0.000231,-16.674100,1.124192,-0.002509,0.624970,0.176825,1.000000,0.996694,0.999007,1.568195,-0.371248,10000.000000,0.797697
convergence,98,composed,convergent,monotone→curvature→convergent,-0.000444,-23.612320,0.951200,-0.022161,0.285741,0.342033,1.000000,0.997259,0.998557,3.401818,-0.476127,10000.000000,0.649254
convergence,98,standardized_sum,convergent,monotone→curvature→convergent,-0.000252,-16.266282,1.134990,0.000450,0.468194,0.195501,1.000000,0.997479,0.998961,2.098268,-0.380258,10000.000000,0.757016
convergence,99,individual_temperature,null,null (no test triggered),-0.000131,-10.417663,1.207564,-0.001757,0.853976,0.060865,1.000000,0.997997,0.998707,0.826030,-0.188297,10000.000000,0.895272
convergence,99,individual_fish_count,convergent,monotone→curvature→convergent,-0.000505,-22.215576,0.969018,-0.042525,0.213354,0.318070,1.000000,0.996801,0.991365,4.496605,-0.449661,10000.000000,0.674491
convergence,99,individual_inter_event,null,null (no test triggered),-0.000088,-8.101479,1.180691,0.045264,2.257037,0.042973,1.000000,0.997731,0.999033,0.572051,-0.234634,10000.000000,0.926022
convergence,99,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,-4.287875,2.768613,-0.017489,0.757988,0.023671,1.000000,0.998292,0.608453,0.153958,0.000000,10000.000000,1.000000
convergence,99,individual_dissolved_oxygen,null,null (no test triggered),-0.000236,-16.431703,1.101956,-0.003020,0.642366,0.177213,1.000000,0.997860,0.998961,1.480774,-0.397090,10000.000000,0.765068
convergence,99,composed,convergent,monotone→curvature→convergent,-0.000482,-23.787601,0.947221,-0.024483,0.275273,0.342657,1.000000,0.996434,0.998875,3.442946,-0.471229,10000.000000,0.640887
convergence,99,standardized_sum,convergent,monotone→curvature→convergent,-0.000258,-16.628787,1.090682,0.001366,0.458636,0.201780,1.000000,0.998214,0.999046,1.989057,-0.325435,10000.000000,0.755895
oscillation,0,individual_temperature,oscillatory,periodicity→oscillatory,-0.000007,-0.639029,1.276346,-0.001884,0.980926,0.005825,20.000000,0.998119,0.998871,-0.006932,0.016689,500.000000,0.953691
oscillation,0,individual_fish_count,oscillatory,periodicity→oscillatory,0.000000,1.132449,1.184940,0.001239,1.014359,0.049275,20.000000,0.998560,0.986575,0.000000,0.000000,500.000000,1.011736
oscillation,0,individual_inter_event,oscillatory,periodicity→oscillatory,0.000005,0.581772,1.421849,-0.004172,0.987168,0.003748,6.666667,0.998996,0.998603,-0.065634,-0.089770,500.000000,0.953078
oscillation,0,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,0.725958,3.306970,0.000000,1.021397,0.001636,45.267442,0.998114,0.569877,0.000000,0.000000,2.568713,1.000000
oscillation,0,individual_dissolved_oxygen,oscillatory,periodicity→oscillatory,-0.000010,-0.931953,1.288846,-0.002268,0.985091,0.020602,20.000000,0.998805,0.998492,-0.036824,-0.032739,500.000000,0.963377
oscillation,0,composed,oscillatory,periodicity→oscillatory,0.000005,0.461284,1.255486,-0.001023,0.972000,0.065911,20.000000,0.997690,0.998910,-0.026183,0.008358,500.000000,0.922902
oscillation,0,standardized_sum,oscillatory,periodicity→oscillatory,0.000001,0.122763,1.251115,-0.001748,0.970455,0.033012,20.000000,0.998693,0.999061,-0.022830,0.061610,500.000000,0.948444
oscillation,1,individual_temperature,oscillatory,periodicity→oscillatory,-0.000009,-0.742453,1.226981,-0.000201,0.980101,0.006213,20.000000,0.996444,0.998883,-0.049844,0.034269,500.000000,0.924720
oscillation,1,individual_fish_count,oscillatory,periodicity→oscillatory,0.000000,0.851186,1.576001,0.001328,1.009836,0.050241,20.000000,0.998334,0.989730,0.000000,0.000000,500.000000,1.011736
oscillation,1,individual_inter_event,oscillatory,periodicity→oscillatory,0.000003,0.354542,1.334355,0.001258,1.025312,0.004882,20.000000,0.998232,0.998750,-0.027953,0.023910,500.000000,0.964601
oscillation,1,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,-1.078131,3.338602,-0.001791,0.972391,0.002415,47.000000,0.998218,0.565550,0.000000,0.000000,19.342360,1.000000
oscillation,1,individual_dissolved_oxygen,oscillatory,periodicity→oscillatory,0.000004,0.334635,1.257162,-0.001313,0.959723,0.022254,20.000000,0.997713,0.998958,0.101804,0.000640,500.000000,0.961562
oscillation,1,composed,oscillatory,periodicity→oscillatory,-0.000001,-0.128545,1.258027,-0.001215,0.969071,0.070095,20.000000,0.997327,0.998986,0.044740,0.007727,500.000000,0.917852
oscillation,1,standardized_sum,oscillatory,periodicity→oscillatory,-0.000009,-0.780277,1.340852,-0.003720,0.938511,0.032786,20.000000,0.998757,0.998995,0.002282,-0.037123,500.000000,0.946251
oscillation,2,individual_temperature,oscillatory,periodicity→oscillatory,-0.000010,-0.798763,1.267053,-0.000230,1.005214,0.004112,20.000000,0.997893,0.998755,0.028430,-0.076945,500.000000,0.957500
oscillation,2,individual_fish_count,oscillatory,periodicity→oscillatory,0.000000,-0.262589,1.147361,-0.000016,0.999386,0.055243,20.000000,0.997655,0.987086,0.000000,0.000000,500.000000,1.011736
oscillation,2,individual_inter_event,oscillatory,periodicity→oscillatory,-0.000008,-0.793454,1.320646,0.000050,1.008249,0.003699,10.000000,0.998191,0.999015,-0.035761,-0.055427,500.000000,0.964496
oscillation,2,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,-1.480356,3.288546,-0.003924,0.947035,0.001670,28.697368,0.998166,0.571088,0.000000,0.000000,4.585053,1.000000
oscillation,2,individual_dissolved_oxygen,oscillatory,periodicity→oscillatory,0.000005,0.389712,1.251413,0.001427,1.006859,0.019458,20.000000,0.998250,0.998741,-0.044056,-0.003743,500.000000,0.971639
oscillation,2,composed,oscillatory,periodicity→oscillatory,-0.000009,-0.761507,1.297894,0.000872,1.024441,0.063622,20.000000,0.997412,0.998687,-0.010743,-0.100025,500.000000,0.934571
oscillation,2,standardized_sum,oscillatory,periodicity→oscillatory,-0.000009,-0.741979,1.328888,-0.001743,0.992507,0.029472,20.000000,0.997821,0.998795,-0.006389,-0.034565,500.000000,0.937646
oscillation,3,individual_temperature,oscillatory,periodicity→oscillatory,0.000024,1.925145,1.246050,-0.000782,0.974529,0.004798,20.000000,0.998474,0.998839,-0.029338,-0.052967,500.000000,0.943645
oscillation,3,individual_fish_count,oscillatory,periodicity→oscillatory,0.000000,0.094323,1.579869,-0.001349,0.981848,0.045810,20.000000,0.996895,0.989906,0.000000,0.000000,500.000000,1.011736
oscillation,3,individual_inter_event,oscillatory,periodicity→oscillatory,-0.000016,-1.682179,1.238451,0.000449,1.007876,0.005461,20.000000,0.998514,0.998672,0.034033,0.016089,500.000000,0.971715
oscillation,3,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,-0.507640,3.392211,0.000000,0.983415,0.001824,17.175439,0.998273,0.561657,0.000000,0.000000,10.214505,1.000000
oscillation,3,individual_dissolved_oxygen,oscillatory,periodicity→oscillatory,-0.000006,-0.472944,1.295554,0.000497,0.985783,0.021276,20.000000,0.997167,0.998722,-0.003059,-0.004923,500.000000,0.921051
oscillation,3,composed,oscillatory,periodicity→oscillatory,0.000008,0.647371,1.288841,-0.001836,0.967363,0.062838,20.000000,0.998994,0.998904,0.021388,-0.021286,500.000000,0.921444
oscillation,3,standardized_sum,oscillatory,periodicity→oscillatory,0.000011,0.944371,1.283188,-0.001456,0.972825,0.029484,20.000000,0.997348,0.998355,0.025160,-0.042856,500.000000,0.946267
oscillation,4,individual_temperature,null,null (no test triggered),-0.000006,-0.506597,1.261717,-0.000488,0.996777,0.002748,2.500000,0.998501,0.999000,0.029984,-0.030899,500.000000,0.960151
oscillation,4,individual_fish_count,oscillatory,periodicity→oscillatory,0.000000,-0.840189,1.114087,-0.000584,0.996095,0.055281,20.000000,0.997996,0.988073,0.000000,0.000000,500.000000,1.011736
