category,perturbation,severity,signal,macro_f1,ci_lo,ci_hi,null_fpr,label_entropy,label_counts,detection_rate,paired_delta
amplitude,sweep_divergence,2.5500,standardized_sum,0.6099,0.5833,0.6338,0.0100,1.8280,"{""null"": 199, ""divergent"": 44, ""convergent"": 156, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_divergence,2.7000,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.2746
amplitude,sweep_divergence,2.7000,standardized_sum,0.7254,0.7173,0.7313,0.0100,1.9236,"{""null"": 199, ""divergent"": 97, ""convergent"": 103, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_divergence,2.8500,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.2686
amplitude,sweep_divergence,2.8500,standardized_sum,0.7314,0.7277,0.7333,0.0100,1.9239,"{""null"": 199, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_divergence,3.0000,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.2686
amplitude,sweep_divergence,3.0000,standardized_sum,0.7314,0.7277,0.7333,0.0100,1.9239,"{""null"": 199, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,0.0000,composed,0.7333,0.7333,0.7333,0.0000,1.9219,"{""null"": 200, ""divergent"": 100, ""convergent"": 0, ""oscillatory"": 100, ""aperiodic"": 100}",0.0000,0.4479
amplitude,sweep_convergence,0.0000,standardized_sum,0.2855,0.2814,0.2887,0.0100,1.1071,"{""null"": 358, ""divergent"": 0, ""convergent"": 41, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,0.1500,composed,0.7333,0.7333,0.7333,0.0000,1.9219,"{""null"": 200, ""divergent"": 100, ""convergent"": 0, ""oscillatory"": 100, ""aperiodic"": 100}",0.0000,0.4479
