condition,rep,signal,peak_median_ratio,peak_period,evalue_null_mean
signal,40,individual_turbidity,13.16,2.1,1.0012
signal,40,individual_dissolved_oxygen,24.73,500.0,0.9974
signal,40,composed_evalue,53.85,500.0,1.0008
signal,40,standardized_sum,27.55,500.0,
signal,41,individual_temperature,15.73,10.4,0.9982
signal,41,individual_fish_count,19.24,87.0,1.0019
signal,41,individual_inter_event,12.89,2.5,1.0005
signal,41,individual_turbidity,10.95,4.0,1.0020
signal,41,individual_dissolved_oxygen,13.06,12.2,0.9986
signal,41,composed_evalue,37.90,500.0,1.0028
signal,41,standardized_sum,13.29,500.0,
signal,42,individual_temperature,14.97,500.0,0.9966
signal,42,individual_fish_count,21.32,8.3,0.9996
signal,42,individual_inter_event,11.63,500.0,0.9993
signal,42,individual_turbidity,13.34,5.3,1.0004
signal,42,individual_dissolved_oxygen,16.03,3.2,0.9980
signal,42,composed_evalue,40.40,500.0,0.9960
signal,42,standardized_sum,14.99,500.0,
signal,43,individual_temperature,12.12,8.0,0.9941
signal,43,individual_fish_count,14.57,3.5,1.0021
signal,43,individual_inter_event,17.68,500.0,1.0021
signal,43,individual_turbidity,13.48,500.0,0.9996
signal,43,individual_dissolved_oxygen,20.67,500.0,0.9967
signal,43,composed_evalue,45.85,500.0,0.9958
signal,43,standardized_sum,16.55,500.0,
signal,44,individual_temperature,11.68,2.7,0.9983
signal,44,individual_fish_count,13.06,14.6,1.0062
signal,44,individual_inter_event,20.42,500.0,1.0004
signal,44,individual_turbidity,12.02,2.9,1.0010
signal,44,individual_dissolved_oxygen,12.64,5.0,0.9969
signal,44,composed_evalue,30.61,500.0,1.0040
signal,44,standardized_sum,13.52,30.2,
signal,45,individual_temperature,11.53,2.6,0.9979
signal,45,individual_fish_count,15.42,4.4,1.0033
signal,45,individual_inter_event,15.74,11.1,0.9996
signal,45,individual_turbidity,12.69,6.4,1.0000
signal,45,individual_dissolved_oxygen,13.44,3.8,1.0012
signal,45,composed_evalue,44.89,500.0,1.0021
signal,45,standardized_sum,20.48,500.0,
signal,46,individual_temperature,12.52,3.1,1.0019
signal,46,individual_fish_count,13.87,3.6,1.0004
signal,46,individual_inter_event,19.67,500.0,0.9999
signal,46,individual_turbidity,14.29,500.0,0.9990
signal,46,individual_dissolved_oxygen,13.92,4.9,1.0020
signal,46,composed_evalue,47.99,500.0,1.0042
signal,46,standardized_sum,16.95,500.0,
signal,47,individual_temperature,13.10,500.0,0.9984
signal,47,individual_fish_count,14.80,4.2,0.9966
signal,47,individual_inter_event,14.10,500.0,0.9991
signal,47,individual_turbidity,15.07,500.0,1.0005
signal,47,individual_dissolved_oxygen,14.13,500.0,1.0023
signal,47,composed_evalue,45.74,500.0,0.9973
signal,47,standardized_sum,18.53,500.0,
signal,48,individual_temperature,15.23,500.0,0.9972
signal,48,individual_fish_count,13.06,2.1,1.0014
signal,48,individual_inter_event,13.04,2.3,0.9992
signal,48,individual_turbidity,12.66,8.3,1.0020
signal,48,individual_dissolved_oxygen,14.39,3.6,1.0000
signal,48,composed_evalue,43.50,500.0,1.0030
signal,48,standardized_sum,24.45,500.0,
signal,49,individual_temperature,12.67,7.6,0.9998
signal,49,individual_fish_count,14.42,500.0,0.9956
signal,49,individual_inter_event,11.69,2000.0,1.0001
signal,49,individual_turbidity,13.20,2.4,1.0009
signal,49,individual_dissolved_oxygen,16.51,4.4,0.9995
signal,49,composed_evalue,41.52,500.0,0.9960
signal,49,standardized_sum,19.44,500.0,
signal,50,individual_temperature,16.21,3.2,1.0022
signal,50,individual_fish_count,13.15,500.0,0.9955
signal,50,individual_inter_event,12.88,500.0,0.9982
signal,50,individual_turbidity,15.48,3.2,1.0002
signal,50,individual_dissolved_oxygen,14.79,4.8,1.0001
signal,50,composed_evalue,38.17,500.0,0.9978
signal,50,standardized_sum,15.63,36.6,
signal,51,individual_temperature,11.34,3.3,1.0046
signal,51,individual_fish_count,11.97,14.7,1.0002
signal,51,individual_inter_event,11.46,2.4,1.0011
signal,51,individual_turbidity,13.82,5.0,1.0010
signal,51,individual_dissolved_oxygen,13.07,3.8,1.0000
signal,51,composed_evalue,29.03,500.0,1.0077
signal,51,standardized_sum,12.27,500.0,
signal,52,individual_temperature,12.47,8.3,1.0010
signal,52,individual_fish_count,13.50,43.1,0.9984
signal,52,individual_inter_event,11.17,2.7,0.9997
signal,52,individual_turbidity,19.93,500.0,1.0006
signal,52,individual_dissolved_oxygen,15.35,2.6,1.0029
signal,52,composed_evalue,37.36,500.0,1.0049
signal,52,standardized_sum,17.23,500.0,
signal,53,individual_temperature,12.43,2.8,1.0055
signal,53,individual_fish_count,13.31,5.8,1.0037
signal,53,individual_inter_event,19.31,500.0,1.0001
signal,53,individual_turbidity,10.86,3.6,0.9998
signal,53,individual_dissolved_oxygen,12.40,5.9,0.9994
signal,53,composed_evalue,36.28,500.0,1.0096
signal,53,standardized_sum,11.63,2.8,
signal,54,individual_temperature,15.02,2.0,1.0065
signal,54,individual_fish_count,14.10,56.5,0.9998
signal,54,individual_inter_event,11.50,5.6,1.0001
signal,54,individual_turbidity,13.92,4.0,0.9998
signal,54,individual_dissolved_oxygen,13.67,8.1,0.9997
signal,54,composed_evalue,37.94,500.0,1.0058
signal,54,standardized_sum,18.25,500.0,
signal,55,individual_temperature,13.34,3.6,1.0023
signal,55,individual_fish_count,12.27,8.3,1.0019
signal,55,individual_inter_event,22.44,500.0,1.0000
signal,55,individual_turbidity,12.75,2.8,0.9990
signal,55,individual_dissolved_oxygen,10.64,3.3,0.9983
signal,55,composed_evalue,30.82,500.0,0.9973
signal,55,standardized_sum,12.58,2.1,
signal,56,individual_temperature,19.09,500.0,0.9985
signal,56,individual_fish_count,16.67,500.0,0.9970
signal,56,individual_inter_event,12.03,500.0,0.9995
signal,56,individual_turbidity,12.81,6.3,0.9999
signal,56,individual_dissolved_oxygen,20.17,500.0,1.0014
signal,56,composed_evalue,67.36,500.0,0.9970
signal,56,standardized_sum,29.70,500.0,
signal,57,individual_temperature,16.74,500.0,0.9930
signal,57,individual_fish_count,14.98,19.7,1.0038
signal,57,individual_inter_event,12.87,161.3,0.9996
signal,57,individual_turbidity,13.06,28.8,1.0008
signal,57,individual_dissolved_oxygen,12.37,5.6,1.0007
signal,57,composed_evalue,39.30,500.0,0.9944
signal,57,standardized_sum,12.84,7.0,
signal,58,individual_temperature,16.41,500.0,0.9962
signal,58,individual_fish_count,15.61,11.8,0.9972
signal,58,individual_inter_event,12.06,500.0,0.9994
signal,58,individual_turbidity,20.89,500.0,0.9990
signal,58,individual_dissolved_oxygen,13.13,7.0,1.0027
signal,58,composed_evalue,45.08,500.0,0.9977
signal,58,standardized_sum,21.19,500.0,
signal,59,individual_temperature,12.30,51.8,0.9999
signal,59,individual_fish_count,14.40,2.1,0.9990
signal,59,individual_inter_event,12.88,3.8,1.0011
signal,59,individual_turbidity,18.35,500.0,1.0001
signal,59,individual_dissolved_oxygen,12.97,500.0,0.9990
signal,59,composed_evalue,33.59,500.0,1.0004
signal,59,standardized_sum,28.11,500.0,
signal,60,individual_temperature,12.16,2.7,1.0034
signal,60,individual_fish_count,13.23,10.2,0.9989
signal,60,individual_inter_event,20.30,500.0,1.0007
signal,60,individual_turbidity,12.82,4.9,1.0008
signal,60,individual_dissolved_oxygen,20.13,500.0,1.0026
signal,60,composed_evalue,46.08,500.0,1.0060
signal,60,standardized_sum,16.84,500.0,
signal,61,individual_temperature,13.38,7.6,1.0003
signal,61,individual_fish_count,11.70,3.5,1.0002
signal,61,individual_inter_event,14.92,33.8,1.0012
signal,61,individual_turbidity,18.35,500.0,1.0020
signal,61,individual_dissolved_oxygen,14.29,5.3,1.0018
signal,61,composed_evalue,30.62,500.0,1.0071
signal,61,standardized_sum,20.48,500.0,
signal,62,individual_temperature,16.82,2.3,0.9990
signal,62,individual_fish_count,11.10,6.9,1.0027
signal,62,individual_inter_event,11.53,3.1,0.9983
signal,62,individual_turbidity,12.85,32.1,0.9983
signal,62,individual_dissolved_oxygen,14.21,2.2,1.0010
signal,62,composed_evalue,28.01,500.0,0.9986
signal,62,standardized_sum,13.21,3.7,
signal,63,individual_temperature,15.00,2.1,0.9988
signal,63,individual_fish_count,11.78,12.0,1.0007
signal,63,individual_inter_event,11.87,3.9,1.0003
signal,63,individual_turbidity,10.86,6.6,1.0009
signal,63,individual_dissolved_oxygen,12.32,2.4,0.9980
signal,63,composed_evalue,25.70,500.0,1.0004
signal,63,standardized_sum,12.63,2.0,
signal,64,individual_temperature,12.39,6.1,0.9977
signal,64,individual_fish_count,13.74,3.0,0.9986
signal,64,individual_inter_event,17.38,3.0,1.0002
signal,64,individual_turbidity,18.75,500.0,1.0005
signal,64,individual_dissolved_oxygen,12.50,8.9,1.0010
signal,64,composed_evalue,37.43,500.0,0.9989
signal,64,standardized_sum,16.25,500.0,
signal,65,individual_temperature,11.16,3.4,1.0011
signal,65,individual_fish_count,12.99,500.0,1.0027
signal,65,individual_inter_event,15.76,2.6,1.0004
signal,65,individual_turbidity,13.45,6.2,1.0016
signal,65,individual_dissolved_oxygen,12.38,17.5,0.9963
signal,65,composed_evalue,37.29,500.0,0.9998
signal,65,standardized_sum,15.86,500.0,
signal,66,individual_temperature,9.78,263.2,0.9962
signal,66,individual_fish_count,13.46,2.2,1.0058
signal,66,individual_inter_event,11.59,9.3,1.0009
signal,66,individual_turbidity,16.44,500.0,1.0004
signal,66,individual_dissolved_oxygen,16.68,2.3,1.0009
signal,66,composed_evalue,30.81,500.0,1.0060
signal,66,standardized_sum,13.17,500.0,
signal,67,individual_temperature,12.09,16.8,1.0055
signal,67,individual_fish_count,12.96,7.3,0.9997
signal,67,individual_inter_event,13.61,6.2,0.9995
signal,67,individual_turbidity,15.91,3.8,1.0012
signal,67,individual_dissolved_oxygen,16.19,2.6,1.0013
signal,67,composed_evalue,26.88,500.0,1.0062
signal,67,standardized_sum,12.15,2.2,
signal,68,individual_temperature,12.25,5.2,1.0084
signal,68,individual_fish_count,12.79,2.0,1.0003
signal,68,individual_inter_event,11.72,7.5,1.0007
signal,68,individual_turbidity,12.47,14.4,0.9994
signal,68,individual_dissolved_oxygen,21.71,500.0,0.9971
signal,68,composed_evalue,41.43,500.0,1.0110
signal,68,standardized_sum,18.44,500.0,
signal,69,individual_temperature,14.30,18.7,0.9989
signal,69,individual_fish_count,11.86,2.7,1.0010
signal,69,individual_inter_event,16.74,500.0,1.0008
signal,69,individual_turbidity,11.79,3.1,0.9998
signal,69,individual_dissolved_oxygen,13.21,4.4,1.0011
signal,69,composed_evalue,32.38,500.0,1.0052
signal,69,standardized_sum,16.06,2.8,
signal,70,individual_temperature,15.78,5.8,1.0081
signal,70,individual_fish_count,19.51,2.1,1.0031
signal,70,individual_inter_event,13.74,500.0,0.9994
signal,70,individual_turbidity,13.99,500.0,1.0002
signal,70,individual_dissolved_oxygen,13.57,8.5,0.9993
signal,70,composed_evalue,52.87,500.0,1.0093
signal,70,standardized_sum,19.72,500.0,
signal,71,individual_temperature,12.85,2.3,1.0031
signal,71,individual_fish_count,12.07,13.2,0.9985
signal,71,individual_inter_event,15.57,7.5,0.9994
signal,71,individual_turbidity,14.82,2.2,1.0011
signal,71,individual_dissolved_oxygen,19.83,500.0,0.9985
signal,71,composed_evalue,45.82,500.0,1.0013
signal,71,standardized_sum,15.57,500.0,
signal,72,individual_temperature,11.14,3.7,0.9999
signal,72,individual_fish_count,13.39,5.4,0.9975
signal,72,individual_inter_event,23.70,500.0,0.9994
signal,72,individual_turbidity,11.77,39.5,1.0002
signal,72,individual_dissolved_oxygen,11.09,5.8,0.9975
signal,72,composed_evalue,37.50,500.0,0.9940
signal,72,standardized_sum,14.16,6.4,
signal,73,individual_temperature,17.97,500.0,0.9994
signal,73,individual_fish_count,12.37,3.4,0.9996
signal,73,individual_inter_event,13.20,5.4,1.0005
signal,73,individual_turbidity,17.03,500.0,0.9999
signal,73,individual_dissolved_oxygen,25.88,500.0,1.0034
signal,73,composed_evalue,58.32,500.0,1.0018
signal,73,standardized_sum,26.90,500.0,
signal,74,individual_temperature,17.33,500.0,1.0037
signal,74,individual_fish_count,15.70,17.7,0.9974
signal,74,individual_inter_event,13.12,6.8,1.0004
signal,74,individual_turbidity,14.26,4.6,0.9998
